"EffectiveDate";"Status";"SubService";"ExpressRoute";"Protocol";"Port";"Value";"Guid";"PublicationDate";"DescriptionIsParsable";"OperationType";"QuickDescription"
"2/23/2016 12:00:00 AM";"Required";"Skype for Business Online";"False";"TCP";"443";"134.170.58.224/27";"c65a1610-fe41-4cf1-9bd3-9c0cbe63e1dd";"2/22/2016 2:11:19 PM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/23/2016 12:00:00 AM";"Required";"Skype for Business Online";"False";"TCP";"443";"157.55.229.128/27";"c65a1610-fe41-4cf1-9bd3-9c0cbe63e1dd";"2/22/2016 2:11:19 PM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/23/2016 12:00:00 AM";"Required";"Skype for Business Online";"False";"TCP";"443";"157.55.46.0/27";"c65a1610-fe41-4cf1-9bd3-9c0cbe63e1dd";"2/22/2016 2:11:19 PM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/23/2016 12:00:00 AM";"Required";"Skype for Business Online";"False";"TCP";"443";"157.56.135.160/27";"c65a1610-fe41-4cf1-9bd3-9c0cbe63e1dd";"2/22/2016 2:11:19 PM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/23/2016 12:00:00 AM";"Required";"Skype for Business Online";"False";"TCP";"443";"157.56.184.224/27";"c65a1610-fe41-4cf1-9bd3-9c0cbe63e1dd";"2/22/2016 2:11:19 PM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/23/2016 12:00:00 AM";"Required";"Skype for Business Online";"False";"TCP";"443";"207.46.7.128/27";"c65a1610-fe41-4cf1-9bd3-9c0cbe63e1dd";"2/22/2016 2:11:19 PM";"True";"Removing";"Removing 17 Old IP_Sets"
;;;;;;"N/A";"cfc402af-d601-48ef-8105-dfb303bfd502";"2/22/2016 2:11:19 PM";"True";"InfoONly";"Information - read description"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"23.103.148.0/22";"c5029fe7-107e-4f92-85cf-b403afd6018e";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"207.46.163.128/26";"c5029fe7-107e-4f92-85cf-b403afd6018e";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"207.46.163.192/27";"c5029fe7-107e-4f92-85cf-b403afd6018e";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"207.46.163.224/27";"c5029fe7-107e-4f92-85cf-b403afd6018e";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"23.103.145.128/27";"c5029fe7-107e-4f92-85cf-b403afd6018e";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"23.103.145.192/27";"c5029fe7-107e-4f92-85cf-b403afd6018e";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"213.199.154.0/2";"c5029fe7-107e-4f92-85cf-b403afd6018e";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"213.199.154.64/26";"c5029fe7-107e-4f92-85cf-b403afd6018e";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"213.199.154.128/27";"c5029fe7-107e-4f92-85cf-b403afd6018e";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"207.46.51.64/27";"c5029fe7-107e-4f92-85cf-b403afd6018e";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"207.46.51.96/27";"c5029fe7-107e-4f92-85cf-b403afd6018e";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/25/2016 12:00:00 AM";"Required";"Exchange Online Protection";"False";"TCP";"25";"134.170.132.0/24";"c5029fe7-107e-4f92-85cf-b403afd6018e";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 17 Old IP_Sets"
"2/25/2016 12:00:00 AM";"Required";"Remote Analyzer";"False";"TCP";"443";"134.170.52.122";"04cfc402-afe6-4017-af91-05dfb303bfd5";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 7 Old Endpoints"
"2/25/2016 12:00:00 AM";"Required";"Remote Analyzer";"False";"TCP";"443";"134.170.52.123";"04cfc402-afe6-4017-af91-05dfb303bfd5";"2/25/2016 11:30:36 AM";"True";"Removing";"Removing 7 Old Endpoints"
